Country,HPI Rank,"Average Life 
Expectancy","Average Wellbeing
(0-10)",Happy Life Years,"Footprint
(gha/capita)",Inequality of Outcomes (%),Inequality-adjusted Life Expectancy,Inequality-adjusted Wellbeing,Happy Planet Index
Turkey,68,74.7,5.3,31.2,3.3,19,66.2,4.9,26.4
Turkmenistan,134,65.3,5.5,24,5.5,31,48.3,5.1,14.6
Uganda,112,57.1,4.3,13.8,1.2,41,36.8,3.9,19.4
Ukraine,70,70.3,5,28.3,2.8,17,64.2,4.6,26.4
United Kingdom,34,80.4,6.9,49.1,4.9,9,76.8,6.6,31.9
United States,108,78.8,7,46.8,8.2,13,74,6.5,20.7
Uruguay,14,76.9,6.4,39.4,2.9,18,69.6,5.8,36.1
Uzbekistan,51,68.2,6,27.9,2.3,30,51.6,5.6,29.1
Vanuatu,4,71.3,6.5,34.9,1.9,22,60.3,5.9,40.6
Venezuela,29,73.9,7.1,41.5,3.6,19,65.5,6.5,33.6
Vietnam,5,75.5,5.5,32.8,1.7,19,64.8,5.2,40.3
Yemen,94,63.3,4.1,15.2,1,39,44.7,3.6,22.8
Zambia,77,58.4,5,16.7,1,41,38.7,4.5,25.2
Zimbabwe,99,53.7,5,16.4,1.4,37,36.9,4.6,22.1
